No.,Service,Keyword,Count
1,accounts-daemon,emergency,0
2,accounts-daemon,alert,0
3,accounts-daemon,critical,0
4,accounts-daemon,error,0
5,accounts-daemon,fail,0
6,accounts-daemon,fatal,0
7,accounts-daemon,warn,0
8,apt-helper,emergency,0
9,apt-helper,alert,0
10,apt-helper,critical,0
11,apt-helper,error,52
12,apt-helper,fail,0
13,apt-helper,fatal,0
14,apt-helper,warn,0
15,at-spi-bus-launcher,emergency,0
16,at-spi-bus-launcher,alert,0
17,at-spi-bus-launcher,critical,0
18,at-spi-bus-launcher,error,0
19,at-spi-bus-launcher,fail,0
20,at-spi-bus-launcher,fatal,0
21,at-spi-bus-launcher,warn,0
22,colord,emergency,0
23,colord,alert,0
24,colord,critical,0
25,colord,error,0
26,colord,fail,2
27,colord,fatal,0
28,colord,warn,0
29,cron,emergency,0
30,cron,alert,0
31,cron,critical,0
32,cron,error,0
33,cron,fail,0
34,cron,fatal,0
35,cron,warn,0
36,CRON,emergency,0
37,CRON,alert,0
38,CRON,critical,0
39,CRON,error,0
40,CRON,fail,0
41,CRON,fatal,0
42,CRON,warn,0
43,dbus-daemon,emergency,0
44,dbus-daemon,alert,0
45,dbus-daemon,critical,0
46,dbus-daemon,error,0
47,dbus-daemon,fail,132
48,dbus-daemon,fatal,0
49,dbus-daemon,warn,0
50,gnome-keyring-d,emergency,0
51,gnome-keyring-d,alert,0
52,gnome-keyring-d,critical,0
53,gnome-keyring-d,error,0
54,gnome-keyring-d,fail,0
55,gnome-keyring-d,fatal,0
56,gnome-keyring-d,warn,0
57,gnome-keyring-daemon,emergency,0
58,gnome-keyring-daemon,alert,0
59,gnome-keyring-daemon,critical,0
60,gnome-keyring-daemon,error,0
61,gnome-keyring-daemon,fail,0
62,gnome-keyring-daemon,fatal,0
63,gnome-keyring-daemon,warn,0
64,gpg-agent,emergency,0
65,gpg-agent,alert,0
66,gpg-agent,critical,0
67,gpg-agent,error,0
68,gpg-agent,fail,0
69,gpg-agent,fatal,0
70,gpg-agent,warn,0
71,gvfsd-network,emergency,0
72,gvfsd-network,alert,0
73,gvfsd-network,critical,0
74,gvfsd-network,error,2
